sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia WW nominal shoving,nominal_shoving,thrust,standard,15_20,"[15,20)",3,199947.0,14696038.0,-0.02281416587885796,0.0003199708562519104,-0.15104358933386733
Pythia WW nominal shoving,nominal_shoving,thrust,standard,20_25,"[20,25)",1,857835.0,97493560.0,-0.06354215498630883,0.000292519733597582,-0.2520756929700062
Pythia WW nominal shoving,nominal_shoving,thrust,standard,20_25,"[20,25)",2,857835.0,97493560.0,-0.0009032092207548478,0.0006473710241783776,-0.03005343941639372
Pythia WW nominal shoving,nominal_shoving,thrust,standard,20_25,"[20,25)",3,857835.0,97493560.0,-0.022072152863368614,0.0002151312675126644,-0.148566997894447
Pythia WW nominal shoving,nominal_shoving,thrust,standard,25_30,"[25,30)",1,1496886.0,244853884.0,-0.05843155912317895,0.00014335109024213506,-0.2417262069432666
Pythia WW nominal shoving,nominal_shoving,thrust,standard,25_30,"[25,30)",2,1496886.0,244853884.0,0.004579308254547843,0.00038089931661728954,0.06767058633223036
Pythia WW nominal shoving,nominal_shoving,thrust,standard,25_30,"[25,30)",3,1496886.0,244853884.0,-0.020338918417871613,0.00012385734238194292,-0.1426145799624695
Pythia WW nominal shoving,nominal_shoving,thrust,standard,30_35,"[30,35)",1,1344459.0,300428642.0,-0.05355034703949765,0.00011640506476305422,-0.2314094791478898
Pythia WW nominal shoving,nominal_shoving,thrust,standard,30_35,"[30,35)",2,1344459.0,300428642.0,0.010777055768917,0.0002499833593424348,0.10381259927830051
Pythia WW nominal shoving,nominal_shoving,thrust,standard,30_35,"[30,35)",3,1344459.0,300428642.0,-0.0177121569761015,0.00010125530446070114,-0.13308702782804002
Pythia WW nominal shoving,nominal_shoving,thrust,standard,35_40,"[35,40)",1,732138.0,214380920.0,-0.04770216030907508,0.00019108629781978265,-0.21840824231030082
Pythia WW nominal shoving,nominal_shoving,thrust,standard,35_40,"[35,40)",2,732138.0,214380920.0,0.0167695013965282,0.0003118492014954084,0.12949710960684874
Pythia WW nominal shoving,nominal_shoving,thrust,standard,35_40,"[35,40)",3,732138.0,214380920.0,-0.01454455407348751,0.00010213225366693172,-0.12060080461376496
Pythia WW nominal shoving,nominal_shoving,thrust,standard,40_999,"[40,inf)",1,354624.0,140623574.0,-0.03949324229458142,0.00022095294061683787,-0.19872906756330697
Pythia WW nominal shoving,nominal_shoving,thrust,standard,40_999,"[40,inf)",2,354624.0,140623574.0,0.019262389865898302,0.0002919202043060049,0.13878901205029995
Pythia WW nominal shoving,nominal_shoving,thrust,standard,40_999,"[40,inf)",3,354624.0,140623574.0,-0.009980923090295656,0.00014032851763514333,-0.09990456991697455
