technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_no_shoving,shoving2x_over_no_shoving,delta_shoving_over_sigma,delta_shoving2x_over_sigma,effect_scale_2x_over_nominal
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{8},10_15,0.4380573676,0.001562073687,0.4411260462,0.001061285383,0.4415373538,0.001480477408,1.0070051980105081,1.0079441334797445,1.624936246357567,1.6169571744330065,1.1340341083618102
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{8},15_20,0.4304816506,0.0008616574555,0.4326464169,0.0007827731591,0.4341436538,0.0006847595376,1.005028707488421,1.0085067579417053,1.8595649106463232,3.3272393372556466,1.6916390466721372
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{8},20_25,0.4237406755,0.0006959683132,0.4260178523,0.0005244136461,0.4278439517,0.0006808973676,1.005373986807646,1.0096834607514567,2.6131643551286783,4.214326304494387,1.8019137556644707
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{8},25_30,0.4096018639,0.001000698395,0.4116847874,0.001161989134,0.415154715,0.0007933078483,1.0050852393106018,1.0135567036905762,1.3582825280337671,4.348348889363278,2.665892962463592
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{8},30_35,0.3796871294,0.002650648351,0.3898099801,0.002650953648,0.3901912959,0.001849339074,1.0266610319817704,1.027665321488772,2.700291860607735,3.250025429169399,1.0376688159591254
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{8},35_40,0.337677158,0.006682618133,0.3426520326,0.008617238879,0.3370543331,0.01068361739,1.014732635839111,0.9981555610581158,0.4562105195776867,-0.049424778362011486,-0.12519409031937884
event_shape,sphgt0p12,Sphericity>0.12,beam,v2{8},40_999,0.3330645787,0.03983071886,0.3194786538,0.04740322557,0.2926562547,0.03737556873,0.9592093372611766,0.8786772098140258,-0.21942622550168303,-0.7397989151204091,2.9742784755125524
event_shape,sphgt0p12,Sphericity>0.12,thrust,v2{2},0_10,0.5081739933,0.004543798022,0.5076359515,0.003977769812,0.5051972855,0.003280941045,0.9989412252356598,0.9941423452611776,-0.08909545690798967,-0.5311260143941023,5.532484279101972
event_shape,sphgt0p12,Sphericity>0.12,thrust,v2{2},10_15,0.4848178017,0.0006229449965,0.4907939865,0.0006788768532,0.4963963276,0.0005835125334,1.0123266612303523,1.0238822210310765,6.486150040706454,13.565143159506217,1.937444421062751
event_shape,sphgt0p12,Sphericity>0.12,thrust,v2{2},15_20,0.4626211665,0.0002788772812,0.4690980688,0.0004445195475,0.476302876,0.0004555975805,1.0140004452217384,1.0295743266645365,12.342663894400118,25.61284066694921,2.1123847274954297
