group,axis,method,bin,v22,v22_err,c22_or_corr,c22_or_corr_err,c22_significance
gap,thrust,twosub1p6,25_30,0.150674064,0.005935626727,0.02270267357,0.001786002046,12.7114488
gap,thrust,twosub1p6,30_35,0.1479973057,0.01427302443,0.0219032025,0.004193747563,5.222823303
gap,thrust,twosub1p6,35_40,0.1549837909,0.05703040751,0.02401997544,0.01643673989,1.461358858
gap,thrust,twosub1p6,40_999,0,0,-0.158059747,0.1375357398,-1.149226718
gap,thrust,twosub2p0,0_10,0.1823478421,0.005582477864,0.03325073553,0.002036439986,16.32787401
gap,thrust,twosub2p0,10_15,0.1722065736,0.001902524695,0.02965510399,0.0006558856326,45.21383381
gap,thrust,twosub2p0,15_20,0.1758899232,0.001692014478,0.03093726507,0.0005953250435,51.96701434
gap,thrust,twosub2p0,20_25,0.1610078631,0.002512507883,0.02592353199,0.0008094882725,32.02459242
gap,thrust,twosub2p0,25_30,0.1438232024,0.006925257921,0.02068511356,0.001988529861,10.4022142
gap,thrust,twosub2p0,30_35,0.1423929298,0.01615315082,0.02027574645,0.004573456572,4.433352788
gap,thrust,twosub2p0,35_40,0.159205541,0.04836654675,0.02534640427,0.01451723212,1.745952952
gap,thrust,twosub2p0,40_999,0,0,-0.1415005204,0.1581383218,-0.8947895663
selection,beam,inclusive,0_10,0.8179982312,0.0006575696998,0.6691211062,0.00107579881,621.9760607
selection,beam,inclusive,10_15,0.7877989972,0.000259558993,0.62062726,0.0004089577707,1517.582754
selection,beam,inclusive,15_20,0.738490908,0.0002686933704,0.5453688211,0.0003968663864,1374.187484
selection,beam,inclusive,20_25,0.6758712262,0.0004526832992,0.4568019144,0.0006118705324,746.5662918
selection,beam,inclusive,25_30,0.6105141659,0.001389559083,0.3727275468,0.00169678303,219.6671821
selection,beam,inclusive,30_35,0.5448835267,0.00277624795,0.2968980577,0.003024352902,98.16911826
selection,beam,inclusive,35_40,0.4927123086,0.01145141558,0.2427654191,0.01127905961,21.52355138
selection,beam,inclusive,40_999,0.4789755236,0.03200116913,0.2294175522,0.03057663023,7.503035831
selection,beam,pt04to1,0_10,0.5165743841,0.0005162197052,0.2668490943,0.0005333431926,500.3328025
selection,beam,pt04to1,10_15,0.4462349604,0.001049410831,0.1991256399,0.0009367894637,212.5617842
selection,beam,pt04to1,15_20,0.387641818,0.003408495105,0.1502661791,0.00264184795,56.87919289
selection,beam,pt04to1,20_25,0.3302536551,0.02185550081,0.1090674767,0.01441583589,7.565810093
selection,beam,pt04to1,25_30,0,0,-0.0179916837,0.01686720347,-1.066666667
selection,beam,pt04to1,30_35,0,0,0,0,0
selection,beam,pt04to1,35_40,0,0,0,0,0
selection,beam,pt04to1,40_999,0,0,0,0,0
selection,beam,pt04to2,0_10,0.6604432758,0.0003354705567,0.4361853206,0.0004431262903,984.3363621
selection,beam,pt04to2,10_15,0.609111094,0.0004838653587,0.3710163248,0.0005894723829,629.4040833
selection,beam,pt04to2,15_20,0.5496393365,0.0009531213347,0.3021034002,0.001047535624,288.3943929
selection,beam,pt04to2,20_25,0.4944031091,0.001853818989,0.2444344342,0.00183312655,133.3429131
selection,beam,pt04to2,25_30,0.4480615482,0.004322708236,0.200759151,0.003878086318,51.76758187
selection,beam,pt04to2,30_35,0.3932800974,0.02267264253,0.154669235,0.01771807291,8.729461478
selection,beam,pt04to2,35_40,0.3491433755,0.05729392092,0.1219010967,0.03939674282,3.094192259
selection,beam,pt04to2,40_999,0,0,0,0,0
