technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving_over_no_shoving,delta_over_sigma
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{4},25_30,0.4566409496,0.0009429736367,0.4606892411,0.001263320725,1.0088653711489215,2.567987939856932
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{4},30_35,0.3649553893,0.003473760534,0.378726609,0.003780663434,1.0377339809295973,2.682230991144408
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{4},35_40,0.2925524621,0.01020161452,0.2900872979,0.02103698936,0.9915735995441481,-0.1054386825388629
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{4},40_999,0.3589177814,0.04169913704,0.2940722611,0.07903668848,0.8193304325936079,-0.7256476007564882
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{6},0_10,0.7105757305,0.0005813176684,0.7111051431,0.0004206362524,1.0007450473992792,0.7378151201146871
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{6},10_15,0.7026783697,0.0002781866466,0.70471879,0.0001513118516,1.0029037755934784,6.443261965860493
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{6},15_20,0.6422927542,0.0002812124699,0.645296554,0.000307774404,1.0046766833042378,7.20508618600042
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{6},20_25,0.5483221864,0.0004439196519,0.5518953127,0.0004613853359,1.0065164722285986,5.580686729292351
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{6},25_30,0.4451416415,0.001075671296,0.4496686221,0.001638570684,1.0101697531256464,2.3095689658782614
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{6},30_35,0.3493852414,0.006807558824,0.3588452939,0.005873094412,1.0270762796450508,1.052182037701387
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{8},0_10,0.7098630518,0.0005848556477,0.7104183451,0.0004427440938,1.0007822541243583,0.7570065363786542
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{8},10_15,0.7022056379,0.0002822952765,0.7042502385,0.0001527254067,1.0029116835434624,6.370255212289221
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{8},15_20,0.6415554882,0.0002851130738,0.6445900714,0.0003141396055,1.004730040122506,7.1531145879506814
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{8},20_25,0.546966563,0.0004670236334,0.5505641505,0.0004808623203,1.0065773444728832,5.366906095711064
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{8},25_30,0.4423533509,0.001140971813,0.4471497627,0.0018011016,1.010842942164316,2.2496351106491965
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",beam,two-sub v2{8},30_35,0.3449224853,0.009267140337,0.3495391599,0.008401909817,1.013384672779406,0.36907189764492687
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",thrust,two-sub v2{2},0_10,0.1241766128,0.001786891369,0.1282039386,0.002021491693,1.032432240735109,1.4926867949503342
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",thrust,two-sub v2{2},10_15,0.1486617275,0.0007147922421,0.1547923014,0.0007876853607,1.0412384142381232,5.763650223958992
two_subevent,twosub0p0,"two subevent, eta<0 vs eta>0",thrust,two-sub v2{2},15_20,0.1759222105,0.0005532117985,0.1813272043,0.0006471323748,1.0307237715160473,6.348615660575557
