sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,0_10,"[0,10)",2,61783.0,369738.0,0.08393152179932818,0.002104178330081469,0.2897093747177129
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,0_10,"[0,10)",3,61783.0,369738.0,-0.03328766922977622,0.0015851613235386827,-0.18244908667838328
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,10_15,"[10,15)",1,558133.0,7820900.0,-0.21896986912235164,0.0004789444021120789,-0.46794216429207536
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,10_15,"[10,15)",2,558133.0,7820900.0,0.09835071977374726,0.00028871684847778126,0.31360918317827885
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,10_15,"[10,15)",3,558133.0,7820900.0,-0.04122530208047667,0.0002750260060901973,-0.20304014893728942
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,15_20,"[15,20)",1,1285824.0,36554792.0,-0.23596066891027587,0.00027658131305941327,-0.48575782948942353
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,15_20,"[15,20)",2,1285824.0,36554792.0,0.11247692153283215,0.0002910888333247817,0.3353757915127926
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,15_20,"[15,20)",3,1285824.0,36554792.0,-0.05046113093919396,0.0001994418797094343,-0.22463555136975527
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,20_25,"[20,25)",1,1367556.0,71880256.0,-0.22947958079183803,0.00022229079204998852,-0.47904027053248666
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,20_25,"[20,25)",2,1367556.0,71880256.0,0.1109008614081035,0.00024408809148087886,0.33301780944583653
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,20_25,"[20,25)",3,1367556.0,71880256.0,-0.0501530438003031,0.00015098105659363666,-0.22394875262055625
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,25_30,"[25,30)",1,941849.0,83949992.0,-0.197781198482306,0.00031168381563262317,-0.4447259813439125
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,25_30,"[25,30)",2,941849.0,83949992.0,0.09310228833511978,0.0002623005877810998,0.3051266758825255
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,25_30,"[25,30)",3,941849.0,83949992.0,-0.04088721016229519,0.00023816836203561354,-0.20220586085050846
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,30_35,"[30,35)",1,489992.0,69319438.0,-0.1570286445180499,0.0003245157884359528,-0.3962683995955896
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,30_35,"[30,35)",2,489992.0,69319438.0,0.07090588135971326,0.0004201452274786861,0.2662815828398826
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,30_35,"[30,35)",3,489992.0,69319438.0,-0.02914338761876575,0.0002024962314963139,-0.1707143450878272
Pythia qqbar 200 GeV no shoving,no_shoving,thrust,standard,35_40,"[35,40)",1,203070.0,42965796.0,-0.11841488616649858,0.00046051074378972905,-0.3441146410231604
