sample,shoving_setting,axis,observable_type,case,gap_value,multiplicity_bin,multiplicity_bin_text,block,number_of_events,number_of_valid_pairs,numerator
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,20_25,"[20,25)",5,85524,9559587,4840222.60428
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,25_30,"[25,30)",5,58739,9820371,4148006.52287
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,30_35,"[30,35)",5,30285,7108205,2461829.13475
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,35_40,"[35,40)",5,12673,3996326,1107185.10137
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,40_999,"[40,inf)",5,5570,2466433,497714.007353
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,0_10,"[0,10)",5,3837,24040,330.811915441
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,10_15,"[10,15)",5,35231,495621,8947.85117837
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,15_20,"[15,20)",5,80641,2206641,55059.731612
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,20_25,"[20,25)",5,85524,4226371,137072.676107
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,25_30,"[25,30)",5,58739,4862502,173120.174993
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,30_35,"[30,35)",5,30285,3874842,138830.076341
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,35_40,"[35,40)",5,12673,2367818,67193.1724946
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,40_999,"[40,inf)",5,5570,1583516,34982.6444687
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,0_10,"[0,10)",5,3837,36260,22611.8572744
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,10_15,"[10,15)",5,35231,716658,450206.352557
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,15_20,"[15,20)",5,80641,2733662,1622643.52663
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,20_25,"[20,25)",5,85524,4136903,2148544.53697
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,25_30,"[25,30)",5,58739,3733365,1568283.68988
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,30_35,"[30,35)",5,30285,2357315,756466.049085
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,35_40,"[35,40)",5,12673,1172450,279268.695256
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,40_999,"[40,inf)",5,5570,639507,93960.9017498
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,0_10,"[0,10)",5,3837,19598,62.8553502617
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,10_15,"[10,15)",5,35231,392993,3538.38015661
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,15_20,"[15,20)",5,80641,1700219,17872.6791398
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,20_25,"[20,25)",5,85524,3141382,42820.8439162
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,25_30,"[25,30)",5,58739,3477985,53022.5981824
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,30_35,"[30,35)",5,30285,2669913,41491.3718682
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,35_40,"[35,40)",5,12673,1575264,12670.9096205
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,thrust,two_subevent,eta_lt_minus_0p5_vs_eta_gt_0p5,0.5,40_999,"[40,inf)",5,5570,996513,3491.44312972
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p8_vs_eta_gt_0p8,0.8,0_10,"[0,10)",5,3837,26861,16691.5709409
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p8_vs_eta_gt_0p8,0.8,10_15,"[10,15)",5,35231,480770,302248.455363
"Pythia qqbar 200 GeV nominal shoving",nominal_shoving,beam,two_subevent,eta_lt_minus_0p8_vs_eta_gt_0p8,0.8,15_20,"[15,20)",5,80641,1659871,979446.252928
